#path	canonical	1.8.6	1.8.7	1.9.1	1.9.2	1.9.3	2.0.0	2.1	2.2	2.3	2.4	2.5	2.6	2.7	3.0	3.1	3.2	3.3	3.4	4.0
BasicObject::BasicObject	BasicObject	-	-	-	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject	BasicObject
Bignum	Integer	Bignum	Bignum	Bignum	Bignum	Bignum	Bignum	Bignum	Bignum	Bignum	Integer	Integer	Integer	Integer	Integer	Integer	-	-	-	-
ConditionVariable	Thread::ConditionVariable	-	-	-	-	-	-	-	-	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable	Thread::ConditionVariable
Errno::EAUTH	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EBADARCH	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EBADEXEC	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EBADMACHO	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EBADRPC	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::ECAPMODE	Errno::NOERROR	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EDEADLOCK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK	Errno::EDEADLK
Errno::EDEVERR	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EDOOFUS	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EFTYPE	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EIPSEC	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::ELAST	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::ENEEDAUTH	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::ENOATTR	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::ENOPOLICY	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::ENOTCAPABLE	Errno::NOERROR	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::ENOTSUP	Errno::ENOTSUP	-	-	-	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::ENOTSUP	Errno::ENOTSUP	Errno::ENOTSUP	Errno::ENOTSUP	Errno::ENOTSUP	Errno::ENOTSUP	Errno::ENOTSUP	Errno::ENOTSUP
Errno::EOPNOTSUPP	Errno::ENOTSUP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::EOPNOTSUPP	Errno::ENOTSUP	Errno::ENOTSUP	Errno::ENOTSUP	Errno::ENOTSUP	Errno::ENOTSUP	Errno::ENOTSUP	Errno::ENOTSUP	Errno::ENOTSUP
Errno::EPROCLIM	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EPROCUNAVAIL	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EPROGMISMATCH	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EPROGUNAVAIL	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EPWROFF	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EQFULL	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::ERPCMISMATCH	Errno::NOERROR	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::ESHLIBVERS	Errno::NOERROR	-	-	-	-	-	-	-	-	-	-	-	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR	Errno::NOERROR
Errno::EWOULDBLOCK	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN	Errno::EAGAIN
Fixnum	Integer	Fixnum	Fixnum	Fixnum	Fixnum	Fixnum	Fixnum	Fixnum	Fixnum	Fixnum	Integer	Integer	Integer	Integer	Integer	Integer	-	-	-	-
IO::EWOULDBLOCKWaitReadable	IO::EAGAINWaitReadable	-	-	-	-	-	-	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable	IO::EAGAINWaitReadable
IO::EWOULDBLOCKWaitWritable	IO::EAGAINWaitWritable	-	-	-	-	-	-	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable	IO::EAGAINWaitWritable
MatchingData	MatchData	MatchData	MatchData	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Mutex	Thread::Mutex	-	-	Mutex	Mutex	Mutex	Mutex	Mutex	Mutex	Thread::Mutex	Thread::Mutex	Thread::Mutex	Thread::Mutex	Thread::Mutex	Thread::Mutex	Thread::Mutex	Thread::Mutex	Thread::Mutex	Thread::Mutex	Thread::Mutex
Queue	Thread::Queue	-	-	-	-	-	-	-	-	Thread::Queue	Thread::Queue	Thread::Queue	Thread::Queue	Thread::Queue	Thread::Queue	Thread::Queue	Thread::Queue	Thread::Queue	Thread::Queue	Thread::Queue
Random::DEFAULT	Random	-	-	-	-	-	-	-	-	-	-	-	-	-	Random	Random	-	-	-	-
SizedQueue	Thread::SizedQueue	-	-	-	-	-	-	-	-	Thread::SizedQueue	Thread::SizedQueue	Thread::SizedQueue	Thread::SizedQueue	Thread::SizedQueue	Thread::SizedQueue	Thread::SizedQueue	Thread::SizedQueue	Thread::SizedQueue	Thread::SizedQueue	Thread::SizedQueue
Struct::Tms	Process::Tms	Struct::Tms	Struct::Tms	Struct::Tms	Struct::Tms	Struct::Tms	Struct::Tms	Process::Tms	Process::Tms	Process::Tms	Process::Tms	Process::Tms	Process::Tms	Process::Tms	-	-	-	-	-	-
